Astrocytes,Microglia,Neuron,Oligodendrocytes,Endothelia
C8orf37,DGLUCY,C11orf87,KIAA0930,GGACT
A2M,C19orf38,CCDC184,INAVA,A3GALT2
MYORG,CD300C,CEP170B,C1orf116,A4GALT
FAM216B,AAGAB,AARS2,TMEM266,C15orf48
AASS,ABCA1,ABCA5,SHISA8,UQCC3
ABAT,ABCA9,ABCC8,AARD,C16orf89
ABCB9,ABCC3,ABLIM3,ABCA2,ABCA4
ABCC12,ABCD1,ABRACL,ABCA6,ABCB1
ABCD2,ABHD12,ACBD7,ABCA8,ABCC4
ABCD3,ABHD14B,ASIC5,ABHD5,ABCC6
ABHD3,ABHD15,ACHE,ABI2,ABCC9
ABHD4,ABI3,ACR,ABTB2,ABCG2
ABR,ACADS,ACSL4,ACAP3,ABLIM1
ACAA2,ACCS,ACTA1,ASIC2,ACACB
ACAD11,ACOX3,ACTL6B,ASIC1,ACE2
ACADL,ACSL5,ADAMTS14,ASIC4,ACER2
ACADM,ACTB,ADAMTS15,ACE,ACOT9
ACADSB,ADA,ADAMTS17,ACOT7,ACSS3
ACADVL,ADAM15,ADAR,ACSL3,ACTA2
ACOT11,ADAM33,ADARB1,ACY3,ACTN1
ACOT2,ADAM8,ADARB2,ADAM11,ACTN4
ACOX1,ADAMTS16,GADL1,ADAM12,ACTR3
ACSBG1,ADAP2,ADCY1,ADAM19,ACVRL1
ACSF2,ADCY7,ADCY8,ADAM22,ADAM10
ACSL6,ADORA3,ADCYAP1,ADAM9,ADAMTS8
ACSS1,ADRB2,ADNP,ADAMTS2,ADAMTS9
ACSS2,GRK2,ADPRHL1,ADAMTS4,ADAMTSL2
ACTR3B,AFP,ADRA2C,ADAMTSL3,ADCY4
ACVR1C,AGA,TLE5,ADAMTSL4,ADH1C
ACYP2,AGPAT2,AFAP1,ADAP1,ADIPOR1
ADAMTS19,AIF1,AFF3,ADCY3,ADM
ADAMTS3,AIM2,AGBL4,ADI1,ADORA2A
ADAMTS5,AKAP10,AGTPBP1,ADO,AFAP1L1
ADAMTS6,AKNA,AGTR2,ADORA1,AGFG1
ADCY2,AKR1B1,AHDC1,ADRA1D,AHNAK
ADCYAP1R1,ALB,AHI1,ADSS1,AHR
ADD3,ALDH16A1,AJAP1,AEBP1,AURKB
ADHFE1,ALDH3B1,AKAP8L,AFAP1L2,AKAP12
ADK,ALKBH3,AKR1B10,AGAP1,PALM2AKAP2
ADORA2B,ALOX15,ALKBH8,AGAP2,ALKBH2
ADRA2A,ALOX5,ALLC,AGO3,ALOX12
GRK3,ALOX5AP,ALOXE3,AGPAT4,AMDHD1
AFF1,AMDHD2,AMIGO1,GPAT3,AMMECR1
AGBL2,ANG,AMMECR1L,ETNPPL,ANGPT2
AGFG2,ANGPTL7,AMY2A,ALAS2,ANGPTL4
AGL,ANKRD44,ANGPT1,ALDH18A1,ANKRD37
AGPAT3,ANKS6,ANKHD1,ALDH1A2,ANO1
AGPAT5,ANXA4,ANKRD24,ALDH1L2,ANO6
AGRN,AOAH,ANKRD34A,ALX4,ANPEP
AGT,AP1B1,ANKRD34B,AMD1,ANTXR2
AHCYL1,AP1G2,ANKRD35,AMPD3,ANXA1
AHCYL2,AP3B1,ANKRD42,ANK1,ANXA11
AIFM3,AP5B1,ANKRD45,ANKRD28,ANXA2
AK4,AP5Z1,ANKRD55,SOWAHA,ANXA3
AK7,APAF1,ANO5,ANKS1B,ANXA5
AKT2,APBB1IP,AP1AR,ANLN,ANXA6
ALDH1A1,APOBEC1,AP3B2,ANO2,ANXA7
ALDH1L1,APOBEC2,APBA1,ANO3,AOC3
ALDH4A1,APOBEC3B,APC2,APBB1,APBB2
ALDH5A1,APOBR,ARFRP1,APH1B,APCDD1
ALDH6A1,APOC2,ARG2,APLP1,APLN
ALDH7A1,ARAP1,ARHGAP15,APOD,APLNR
